Pclass,Sex,Age,SibSp,Parch,Class
3,1,0.83,0,1,0
1,1,55,1,1,0
3,2,45,1,0,1
3,1,18,0,0,0
3,1,22,0,0,0
3,1,30.2,0,0,0
3,2,37,0,0,1
1,2,55,0,0,1
3,2,17,0,0,1
1,1,57,1,0,0
2,1,19,0,0,0
3,1,27,0,0,0
2,1,22,2,0,0
3,1,26,0,0,0
3,1,25,0,0,0
2,1,26,0,0,0
1,1,33,0,0,0
1,2,39,0,0,1
3,1,23,0,0,0
2,2,12,2,1,1
1,1,46,0,0,0
2,1,29,1,0,0
2,1,21,0,0,0
2,2,48,0,2,1
1,1,39,0,0,0
3,1,30.2,0,0,0
3,2,19,1,1,1
3,1,27,0,0,0
1,1,30,0,0,0
2,1,32,0,0,0
3,1,39,0,2,0
2,1,25,0,0,0
3,1,30.2,0,0,0
2,1,18,0,0,0
3,1,32,0,0,0
3,1,30.2,1,9,0
1,2,58,0,1,1
3,1,30.2,1,1,0
3,2,16,0,0,1
2,1,26,0,0,0
3,2,38,0,0,1
2,1,24,0,0,0
2,2,31,0,0,1
1,2,45,0,1,1
2,1,25,0,0,0
2,1,18,0,0,0
2,1,49,1,2,0
3,2,0.17,1,2,1
1,1,50,0,0,0
1,2,59,2,0,1
3,1,30.2,0,0,0
3,1,30.2,0,0,0
3,2,30,1,0,1
3,1,14.5,8,2,0
2,2,24,1,1,1
2,2,31,0,0,1
3,1,27,0,0,0
1,2,25,1,0,1
3,2,30.2,1,9,1
3,1,30.2,1,0,0
3,2,22,0,0,1
1,2,45,0,1,1
2,1,29,0,0,0
2,1,21,1,0,0
1,2,31,0,0,1
1,1,49,0,0,0
2,1,44,0,0,0
1,2,54,1,1,1
1,2,45,0,0,1
3,2,22,2,0,1
2,1,21,0,0,0
1,1,55,0,0,0
3,1,5,4,2,0
3,1,30.2,0,0,0
3,1,26,0,0,0
3,2,30.2,0,0,1
3,2,19,1,0,1
2,1,30.2,0,0,0
2,2,24,1,2,1
3,1,24,0,0,0
2,1,57,0,0,0
3,1,21,0,0,0
3,1,6,3,1,0
1,1,23,0,0,0
1,2,51,0,1,1
3,1,13,0,2,0
2,1,47,0,0,0
3,1,29,3,1,0
1,2,18,1,0,1
3,1,24,0,0,0
1,2,48,1,1,1
3,1,22,0,0,0
3,1,31,0,0,0
1,2,30,0,0,1
2,1,38,1,0,0
1,2,22,0,1,1
1,1,17,0,0,0
1,1,43,1,0,0
2,1,20,0,0,0
2,1,23,1,0,0
1,1,50,1,1,0
3,2,30.2,0,0,1
3,2,3,1,1,1
3,2,30.2,0,0,1
1,2,37,1,0,1
3,2,28,0,0,1
3,1,30.2,0,0,0
1,2,39,0,0,1
3,1,38.5,0,0,0
3,1,30.2,0,0,0
3,1,30.2,1,1,0
3,1,22,1,0,0
1,2,38,1,0,1
3,2,26,0,0,1
1,2,35,1,0,1
3,1,35,0,0,0
3,1,29.7,0,0,0
1,1,54,0,0,0
3,1,2,3,1,0
3,2,27,0,2,1
2,2,14,1,0,1
3,2,4,1,1,1
1,2,58,0,0,1
3,1,20,0,0,0
3,1,39,1,5,0
3,2,14,0,0,0
2,2,55,0,0,1
3,1,2,4,1,0
2,1,29.7,0,0,1
3,2,31,1,0,0
3,2,29.7,0,0,1
2,1,35,0,0,0
2,1,34,0,0,1
3,2,15,0,0,1
1,1,28,0,0,1
3,2,8,3,1,0
3,2,38,1,5,1
3,1,29.7,0,0,0
1,1,19,3,2,0
3,2,29.7,0,0,1
3,1,29.7,0,0,0
1,1,40,0,0,0
1,2,29.7,1,0,1
3,2,29.7,0,0,1
2,1,66,0,0,0
1,1,28,1,0,0
1,1,42,1,0,0
3,1,29.7,0,0,1
3,1,21,0,0,0
3,2,18,2,0,0
3,2,14,1,0,1
3,2,40,1,0,0
2,2,27,1,0,0
3,1,29.7,0,0,0
2,2,3,1,2,1
3,2,19,0,0,1
3,1,29.7,0,0,0
3,1,29.7,1,0,0
3,2,29.7,0,0,1
3,1,29.7,2,0,0
3,2,18,1,0,0
3,1,7,4,1,0
3,1,21,0,0,0
1,2,49,1,0,1
2,2,29,1,0,1
1,1,65,0,1,0
1,1,29.7,0,0,1
2,2,21,0,0,1
3,1,28.5,0,0,0
2,2,5,1,2,1
3,1,11,5,2,0
3,1,22,0,0,0
1,2,38,0,0,1
1,1,45,1,0,0
3,1,4,3,2,0
1,1,29.7,0,0,0
3,1,29.7,1,1,1
2,2,29,0,0,1
3,1,19,0,0,0
3,2,17,4,2,1
3,1,26,2,0,0
2,1,32,0,0,0
3,2,16,5,2,0
2,1,21,0,0,0
3,1,26,1,0,0
3,1,32,0,0,1
3,1,25,0,0,0
3,1,29.7,0,0,0
3,1,29.7,0,0,0
2,1,0.83,0,2,1
3,2,30,0,0,1
3,1,22,0,0,0
3,1,29,0,0,1
3,2,29.7,0,0,1
1,1,28,0,0,0
2,2,17,0,0,1
3,2,33,3,0,1
3,1,16,1,3,0
3,1,29.7,0,0,0
1,2,23,3,2,1
3,1,24,0,0,0
3,1,29,0,0,0
3,1,20,0,0,0
1,1,46,1,0,0
3,1,26,1,2,0
3,1,59,0,0,0
3,1,29.7,0,0,0
1,1,71,0,0,0
1,1,23,0,1,1
2,2,34,0,1,1
2,1,34,1,0,0
3,2,28,0,0,0
3,1,29.7,0,0,0
1,1,21,0,1,0
3,1,33,0,0,0
3,1,37,2,0,0
3,1,28,0,0,0
3,2,21,0,0,1
3,1,29.7,0,0,1
3,1,38,0,0,0
3,2,29.7,1,0,1
1,1,47,0,0,0
3,2,14.5,1,0,0
3,1,22,0,0,0
3,2,20,1,0,0
3,2,17,0,0,0
3,1,21,0,0,0
3,1,70.5,0,0,0
2,1,29,1,0,0
1,1,24,0,1,0
3,2,2,4,2,0
2,1,21,2,0,0
3,1,29.7,0,0,0
2,1,32.5,1,0,0
2,2,32.5,0,0,1
1,1,54,0,1,0
3,1,12,1,0,1
3,1,29.7,0,0,0
3,1,24,0,0,1
3,2,29.7,1,1,1
3,1,45,0,0,0
3,1,33,0,0,0
3,1,20,0,0,0
3,2,47,1,0,0
2,2,29,1,0,1
2,1,25,0,0,0
2,1,23,0,0,0
1,2,19,0,2,1
1,1,37,1,0,0
3,1,16,0,0,0
1,1,24,0,0,0
3,2,29.7,0,2,0
3,2,22,0,0,1
3,2,24,1,0,1
3,1,19,0,0,0
2,1,18,0,0,0
2,1,19,1,1,0
3,1,27,0,0,1
3,2,9,2,2,0
2,1,36.5,0,2,0
2,1,42,0,0,0
2,1,51,0,0,0
1,2,22,1,0,1
3,1,55.5,0,0,0
3,1,40.5,0,2,0
3,1,29.7,0,0,0
1,1,51,0,1,0
3,2,16,0,0,1
3,1,30,0,0,0
3,1,29.7,0,0,0
3,1,29.7,8,2,0
3,1,44,0,1,0
2,2,40,0,0,1
3,1,26,0,0,0
3,1,17,0,0,0
3,1,1,4,1,0
3,1,9,0,2,1
1,2,29.7,0,1,1
3,2,45,1,4,0
1,1,29.7,0,0,0
3,1,28,0,0,0
1,1,61,0,0,0
3,1,4,4,1,0
3,2,1,1,1,1
3,1,21,0,0,0
1,1,56,0,0,0
3,1,18,1,1,0
3,1,29.7,3,1,0
1,2,50,0,0,0
2,1,30,0,0,0
3,1,36,0,0,0
3,2,29.7,8,2,0
2,1,29.7,0,0,0
3,1,9,4,2,0
2,1,1,2,1,1
3,2,4,0,2,1
1,1,29.7,0,0,0
3,2,29.7,1,0,1
1,1,45,0,0,1
3,1,40,1,1,0
3,1,36,0,0,0
2,2,32,0,0,1
2,1,19,0,0,0
3,2,19,1,0,1
2,1,3,1,1,1
1,2,44,0,0,1
1,2,58,0,0,1
3,1,29.7,0,0,0
3,1,42,0,1,0
3,2,29.7,0,0,1
2,2,24,0,0,0
3,1,28,0,0,0
3,1,29.7,8,2,0
3,1,34,0,0,0
3,1,45.5,0,0,0
3,1,18,0,0,1
3,2,2,0,1,0
3,1,32,1,0,0
3,1,26,0,0,1
3,2,16,0,0,1
1,1,40,0,0,1
3,1,24,0,0,0
2,2,35,0,0,1
3,1,22,0,0,0
2,1,30,0,0,0
3,1,29.7,1,0,0
1,2,31,1,0,1
3,2,27,0,0,1
2,1,42,1,0,0
1,2,32,0,0,1
2,1,30,0,0,0
3,1,16,0,0,1
2,1,27,0,0,0
3,1,51,0,0,0
3,1,29.7,0,0,0
1,1,38,1,0,1
3,1,22,0,0,0
2,1,19,0,0,1
3,1,20.5,0,0,0
2,1,18,0,0,0
3,2,29.7,3,1,0
1,2,35,1,0,1
3,1,29,0,0,0
2,1,59,0,0,0
3,2,5,4,2,1
2,1,24,0,0,0
3,2,29.7,0,0,0
2,1,44,1,0,0
2,2,8,0,2,1
2,1,19,0,0,0
2,1,33,0,0,0
3,2,29.7,1,0,0
3,2,29.7,1,0,1
2,1,29,0,0,0
3,1,22,0,0,0
3,1,30,0,0,0
1,1,44,2,0,0
3,2,25,0,0,0
2,2,24,0,2,1
1,1,37,1,1,1
2,1,54,1,0,0
3,1,29.7,0,0,0
3,2,29,1,1,0
1,1,62,0,0,0
3,1,30,1,0,0
3,2,41,0,2,0
3,2,29,0,2,1
1,2,29.7,0,0,1
1,2,30,0,0,1
1,2,35,0,0,1
2,2,50,0,1,1
3,1,29.7,0,0,0
3,1,3,4,2,1
1,1,52,1,1,0
1,1,40,0,0,0
3,2,29.7,0,0,0
2,1,36,0,0,0
3,1,16,4,1,0
3,1,25,1,0,1
1,2,58,0,1,1
1,2,35,0,0,1
1,1,29.7,0,0,0
3,1,25,0,0,1
2,2,41,0,1,1
1,1,37,0,1,0
3,2,29.7,0,0,1
1,2,63,1,0,1
3,2,45,0,0,0
2,1,29.7,0,0,0
3,1,7,4,1,0
3,2,35,1,1,1
3,1,65,0,0,0
3,1,28,0,0,0
3,1,16,0,0,0
3,1,19,0,0,1
1,1,29.7,0,0,0
3,1,33,0,0,0
3,1,30,0,0,1
3,1,22,0,0,0
2,1,42,0,0,1
3,2,22,0,0,1
1,2,26,0,0,1
1,2,19,1,0,1
2,1,36,0,0,0
3,2,24,0,0,0
3,1,24,0,0,0
1,1,29.7,0,0,0
3,1,23.5,0,0,0
1,2,2,1,2,0
1,1,29.7,0,0,1
1,2,50,0,1,1
3,2,29.7,0,0,1
3,1,29.7,2,0,1
3,1,19,0,0,0
2,2,29.7,0,0,1
3,1,29.7,0,0,0
1,1,0.92,1,2,1
1,2,29.7,0,0,1
1,2,17,1,0,1
2,1,30,1,0,0
1,2,30,0,0,1
1,2,24,0,0,1
1,2,18,2,2,1
2,2,26,1,1,0
3,1,28,0,0,0
2,1,43,1,1,0
3,2,26,0,0,1
2,2,24,1,0,1
2,1,54,0,0,0
1,2,31,0,2,1
1,2,40,1,1,1
3,1,22,0,0,0
3,1,27,0,0,0
2,2,30,0,0,1
2,2,22,1,1,1
3,1,29.7,8,2,0
1,2,36,0,0,1
3,1,61,0,0,0
2,2,36,0,0,1
3,2,31,1,1,1
1,2,16,0,1,1
3,2,29.7,2,0,1
1,1,45.5,0,0,0
1,1,38,0,1,0
3,1,16,2,0,0
1,2,29.7,1,0,1
3,1,29.7,0,0,0
1,1,29,1,0,0
1,2,41,0,0,1
3,1,45,0,0,1
1,1,45,0,0,0
2,1,2,1,1,1
1,2,24,3,2,1
2,1,28,0,0,0
2,1,25,0,0,0
2,1,36,0,0,0
2,2,24,0,0,1
2,2,40,0,0,1
3,2,29.7,1,0,1
3,1,3,1,1,1
3,1,42,0,0,0
3,1,23,0,0,0
1,1,29.7,0,0,0
3,1,15,1,1,0
3,1,25,1,0,0
3,1,29.7,0,0,0
3,1,28,0,0,0
1,2,22,0,1,1
2,2,38,0,0,0
3,2,29.7,0,0,1
3,2,29.7,0,0,1
3,1,40,1,4,0
2,1,29,1,0,0
3,2,45,0,1,0
3,1,35,0,0,0
3,1,29.7,1,0,0
3,1,30,0,0,0
1,2,60,1,0,1
3,2,29.7,0,0,1
3,2,29.7,0,0,1
1,2,24,0,0,1
1,1,25,1,0,1
3,1,18,1,0,0
3,1,19,0,0,0
1,1,22,0,0,0
3,2,3,3,1,0
1,2,29.7,1,0,1
3,2,22,0,0,1
1,1,27,0,2,0
3,1,20,0,0,0
3,1,19,0,0,0
1,2,42,0,0,1
3,2,1,0,2,1
3,1,32,0,0,0
1,2,35,1,0,1
3,1,29.7,0,0,0
2,1,18,0,0,0
3,1,1,5,2,0
2,2,36,0,0,1
3,1,29.7,0,0,0
2,2,17,0,0,1
1,1,36,1,2,1
3,1,21,0,0,1
3,1,28,2,0,0
1,2,23,1,0,1
3,2,24,0,2,1
3,1,22,0,0,0
3,2,31,0,0,0
2,1,46,0,0,0
2,1,23,0,0,0
2,2,28,0,0,1
3,1,39,0,0,1
3,1,26,0,0,0
3,2,21,1,0,0
3,1,28,1,0,0
3,2,20,0,0,0
2,1,34,1,0,0
3,1,51,0,0,0
2,1,3,1,1,1
3,1,21,0,0,0
3,2,29.7,3,1,0
3,1,29.7,0,0,0
3,1,29.7,0,0,0
1,2,33,1,0,1
2,1,29.7,0,0,0
3,1,44,0,0,1
3,2,29.7,0,0,0
2,2,34,1,1,1
2,2,18,0,2,1
2,1,30,0,0,0
3,2,10,0,2,0
3,1,29.7,0,0,0
3,1,21,0,0,0
3,1,29,0,0,0
3,2,28,1,1,0
3,1,18,1,1,0
3,1,29.7,0,0,0
2,2,28,1,0,1
2,2,19,0,0,1
3,1,29.7,0,0,0
3,1,32,0,0,1
1,1,28,0,0,1
3,2,29.7,1,0,1
2,2,42,1,0,1
3,1,17,0,0,0
1,1,50,1,0,0
1,2,14,1,2,1
3,2,21,2,2,0
2,2,24,2,3,1
1,1,64,1,4,0
2,1,31,0,0,0
2,2,45,1,1,1
3,1,20,0,0,0
3,1,25,1,0,0
2,2,28,0,0,1
3,1,29.7,0,0,1
1,1,4,0,2,1
2,2,13,0,1,1
1,1,34,0,0,1
3,2,5,2,1,1
1,1,52,0,0,1
2,1,36,1,2,0
3,1,29.7,1,0,0
1,1,30,0,0,0
1,1,49,1,0,1
3,1,29.7,0,0,0
3,1,29,0,0,1
1,1,65,0,0,0
1,2,29.7,1,0,1
2,2,50,0,0,1
3,1,29.7,0,0,0
1,1,48,0,0,1
3,1,34,0,0,0
1,1,47,0,0,0
2,1,48,0,0,0
3,1,29.7,0,0,0
3,1,38,0,0,0
2,1,29.7,0,0,0
1,1,56,0,0,0
3,1,29.7,0,0,0
3,2,0.75,2,1,1
3,1,29.7,0,0,0
3,1,38,0,0,0
2,2,33,1,2,1
2,2,23,0,0,1
3,2,22,0,0,0
1,1,29.7,0,0,0
2,1,34,1,0,0
3,1,29,1,0,0
3,1,22,0,0,0
3,2,2,0,1,1
3,1,9,5,2,0
2,1,29.7,0,0,0
3,1,50,0,0,0
3,2,63,0,0,1
1,1,25,1,0,1
3,2,29.7,3,1,0
1,2,35,1,0,1
1,1,58,0,0,0
3,1,30,0,0,0
3,1,9,1,1,1
3,1,29.7,1,0,0
3,1,21,0,0,0
1,1,55,0,0,0
1,1,71,0,0,0
3,1,21,0,0,0
3,1,29.7,0,0,0
1,2,54,1,0,1
3,1,29.7,0,0,0
1,2,25,1,2,0
3,1,24,0,0,0
3,1,17,0,0,0
3,2,21,0,0,0
3,2,29.7,0,0,0
3,2,37,0,0,0
1,2,16,0,0,1
1,1,18,1,0,0
2,2,33,0,2,1
1,1,29.7,0,0,1
3,1,28,0,0,0
3,1,26,0,0,1
3,1,29,0,0,1
3,1,29.7,0,0,0
1,1,36,0,0,1
1,2,54,1,0,1
3,1,24,0,0,0
1,1,47,0,0,0
2,2,34,0,0,1
3,1,29.7,0,0,0
2,2,36,1,0,1
3,1,32,0,0,0
1,2,30,0,0,1
3,1,22,0,0,0
3,1,29.7,0,0,0
1,2,44,0,1,1
3,1,29.7,0,0,0
3,1,40.5,0,0,0
2,2,50,0,0,1
1,1,29.7,0,0,0
3,1,39,0,0,0
2,1,23,2,1,0
2,2,2,1,1,1
3,1,29.7,0,0,0
3,1,17,1,1,0
3,2,29.7,0,2,1
3,2,30,0,0,0
2,2,7,0,2,1
1,1,45,0,0,0
1,2,30,0,0,1
3,1,29.7,0,0,0
1,2,22,0,2,1
1,2,36,0,2,1
3,2,9,4,2,0
3,2,11,4,2,0
2,1,32,1,0,1
1,1,50,1,0,0
1,1,64,0,0,0
2,2,19,1,0,1
2,1,29.7,0,0,1
3,1,33,1,1,0
2,1,8,1,1,1
1,1,17,0,2,1
2,1,27,0,0,0
3,1,29.7,0,0,0
3,1,22,0,0,1
3,2,22,0,0,1
1,1,62,0,0,0
1,2,48,1,0,1
1,1,29.7,0,0,0
1,2,39,1,1,1
3,2,36,1,0,1
3,1,29.7,0,0,0
3,1,40,0,0,0
2,1,28,0,0,0
3,1,29.7,0,0,0
3,2,29.7,0,0,0
3,1,24,2,0,0
3,1,19,0,0,0
3,2,29,0,4,0
3,1,29.7,0,0,0
3,1,32,0,0,1
2,1,62,0,0,1
1,2,53,2,0,1
1,1,36,0,0,1
3,2,29.7,0,0,1
3,1,16,0,0,0
3,1,19,0,0,0
2,2,34,0,0,1
1,2,39,1,0,1
3,2,29.7,1,0,0
3,1,32,0,0,1
2,2,25,1,1,1
1,2,39,1,1,1
2,1,54,0,0,0
1,1,36,0,0,0
3,1,29.7,0,0,0
1,2,18,0,2,1
2,1,47,0,0,0
1,1,60,1,1,1
3,1,22,0,0,0
3,1,29.7,0,0,0
3,1,35,0,0,0
1,2,52,1,0,1
3,1,47,0,0,0
3,2,29.7,0,2,0
2,1,37,1,0,0
3,1,36,1,1,0
2,2,29.7,0,0,1
3,1,49,0,0,0
3,1,29.7,0,0,0
1,1,49,1,0,1
2,2,24,2,1,1
3,1,29.7,0,0,0
1,1,29.7,0,0,0
3,1,44,0,0,0
1,1,35,0,0,1
3,1,36,1,0,0
3,1,30,0,0,0
1,1,27,0,0,1
2,2,22,1,2,1
1,2,40,0,0,1
3,2,39,1,5,0
3,1,29.7,0,0,0
3,2,29.7,1,0,1
3,1,29.7,0,0,0
3,1,35,0,0,0
2,2,24,1,2,1
3,1,34,1,1,0
3,2,26,1,0,0
2,2,4,2,1,1
2,1,26,0,0,0
3,1,27,1,0,0
1,1,42,1,0,1
3,1,20,1,1,1
3,1,21,0,0,0
3,1,21,0,0,0
1,1,61,0,0,0
2,1,57,0,0,0
1,2,21,0,0,1
3,1,26,0,0,0
3,1,29.7,0,0,0
1,1,80,0,0,1
3,1,51,0,0,0
1,1,32,0,0,1
1,1,29.7,0,0,0
3,2,9,3,2,0
2,2,28,0,0,1
3,1,32,0,0,0
2,1,31,1,1,0
3,2,41,0,5,0
3,1,29.7,1,0,0
3,1,20,0,0,0
1,2,24,0,0,1
3,2,2,3,2,0
3,1,29.7,0,0,1
3,2,0.75,2,1,1
1,1,48,1,0,1
3,1,19,0,0,0
1,1,56,0,0,1
3,1,29.7,0,0,0
3,2,23,0,0,1
3,1,29.7,0,0,0
2,2,18,0,1,1
3,1,21,0,0,0
3,2,29.7,0,0,1
3,2,18,0,0,0
2,1,24,2,0,0
3,1,29.7,0,0,0
3,2,32,1,1,0
2,1,23,0,0,0
1,1,58,0,2,0
1,1,50,2,0,1
3,1,40,0,0,0
1,1,47,0,0,0
3,1,36,0,0,0
3,1,20,1,0,1
2,1,32,2,0,0
2,1,25,0,0,0
3,1,29.7,0,0,0
3,1,43,0,0,0
1,2,29.7,1,0,1
2,2,40,1,1,1
1,1,31,1,0,0
2,1,70,0,0,0
2,1,31,0,0,1
2,1,29.7,0,0,0
3,1,18,0,0,0
3,1,24.5,0,0,0
3,2,18,0,0,1
3,2,43,1,6,0
1,1,36,0,1,1
3,2,29.7,0,0,0
1,1,27,0,0,1
3,1,20,0,0,0
3,1,14,5,2,0
2,1,60,1,1,0
2,1,25,1,2,0
3,1,14,4,1,0
3,1,19,0,0,0
3,1,18,0,0,0
1,2,15,0,1,1
1,1,31,1,0,1
3,2,4,0,1,1
3,1,29.7,0,0,1
3,1,25,0,0,0
1,1,60,0,0,0
2,1,52,0,0,0
3,1,44,0,0,0
3,2,29.7,0,0,1
1,1,49,1,1,0
